id,has_index,dataset,dataset_size,operation,relational_point_count,relational_has_errors,relational_time_elapsed,relational_avg_time_per_point,spatial_core_point_count,spatial_core_has_errors,spatial_core_time_elapsed,spatial_core_avg_time_per_point,spatial_postgis_point_count,spatial_postgis_has_errors,spatial_postgis_time_elapsed,spatial_postgis_avg_time_per_point,rsc_ratio,rsp_ratio,spsc_ration,best,created_at
201,t,uniform_xxl,1452490,Find Multiple - Rectangle,2214,f,23.901,0.011,2214,f,20.733,0.009,2214,f,29.915,0.014,1.153,0.799,1.443,Spatial Core,2019-06-04 21:52:02.107449+02
61,f,uniform_xxl,1452490,Find Multiple - Rotated Rectangle,2219,f,2129.442,0.960,2219,f,1297.719,0.585,2219,f,106.913,0.048,1.641,19.918,0.082,Spatial PostGIS,2019-06-03 20:54:59.238764+02
202,t,uniform_xxl,1452490,Find Multiple - Rotated Rectangle,2219,f,2130.232,0.960,2219,f,1400.467,0.631,2219,f,24.691,0.011,1.521,86.276,0.018,Spatial PostGIS,2019-06-04 21:52:20.971631+02
59,f,uniform_xxl,1452490,Find Single,1,f,63.215,63.215,1,f,35.112,35.112,1,f,125.672,125.672,1.800,0.503,3.579,Spatial Core,2019-06-03 20:54:23.894731+02
200,t,uniform_xxl,1452490,Find Single,1,f,2.077,2.077,1,f,1.208,1.208,1,f,29.022,29.022,1.719,0.072,24.025,Spatial Core,2019-06-04 21:51:48.796129+02
57,f,uniform_xxl,1452490,Insert Multiple,1452490,f,97997.131,0.067,1452490,f,106379.977,0.073,1452490,f,111004.346,0.076,0.921,0.883,1.043,Relational,2019-06-03 20:53:49.907739+02
198,t,uniform_xxl,1452490,Insert Multiple,1452490,f,103144.229,0.071,1452490,f,123949.463,0.085,1452490,f,129403.915,0.089,0.832,0.797,1.044,Relational,2019-06-04 21:51:27.415399+02
58,f,uniform_xxl,1452490,Insert Single,1,f,2.939,2.939,1,f,2.286,2.286,1,f,15.043,15.043,1.286,0.195,6.580,Spatial Core,2019-06-03 20:54:09.910415+02
199,t,uniform_xxl,1452490,Insert Single,1,f,10.591,10.591,1,f,2.989,2.989,1,f,24.319,24.319,3.543,0.436,8.136,Spatial Core,2019-06-04 21:51:38.98578+02
66,f,uniform_xxl,1452490,Update Multiple - Circle,7106,f,1146.341,0.161,7106,f,341.514,0.048,7106,f,555.961,0.078,3.357,2.062,1.628,Spatial Core,2019-06-03 20:56:54.657175+02
207,t,uniform_xxl,1452490,Update Multiple - Circle,7106,f,1327.766,0.187,7106,f,383.983,0.054,7106,f,515.631,0.073,3.458,2.575,1.343,Spatial Core,2019-06-04 21:53:52.693893+02
64,f,uniform_xxl,1452490,Update Multiple - Rectangle,2214,f,238.075,0.108,2214,f,243.919,0.110,2214,f,423.201,0.191,0.976,0.563,1.735,Relational,2019-06-03 20:56:08.259301+02
205,t,uniform_xxl,1452490,Update Multiple - Rectangle,2214,f,153.904,0.070,2214,f,160.126,0.072,2214,f,101.548,0.046,0.961,1.516,0.634,Spatial PostGIS,2019-06-04 21:53:12.543896+02
65,f,uniform_xxl,1452490,Update Multiple - Rotated Rectangle,2219,f,2208.452,0.995,2219,f,1362.732,0.614,2219,f,413.150,0.186,1.621,5.345,0.303,Spatial PostGIS,2019-06-03 20:56:30.977815+02
206,t,uniform_xxl,1452490,Update Multiple - Rotated Rectangle,2219,f,2426.498,1.094,2219,f,1704.972,0.768,2219,f,153.960,0.069,1.423,15.761,0.090,Spatial PostGIS,2019-06-04 21:53:35.586911+02
63,f,uniform_xxl,1452490,Update Single,1,f,179.536,179.536,1,f,135.675,135.675,1,f,346.203,346.203,1.323,0.519,2.552,Spatial Core,2019-06-03 20:55:53.109649+02
204,t,uniform_xxl,1452490,Update Single,1,f,31.527,31.527,1,f,32.929,32.929,1,f,41.199,41.199,0.957,0.765,1.251,Relational,2019-06-04 21:53:00.694704+02
